application_number,request_for_proposal_document,rfp_identifier,rfp_upload_date,total_services_requested,certified_date_time
240000133,http://publicdata.usac.org/SL/Prd/Form470/341239/240000133/Appendix%20A_%20Site%20List%20with%20Coordinates.xlsx,true,2023-08-01T15:08:23.000,1139,2023-08-01T15:19:21.000
240000135,,false,,24,2023-08-04T09:00:12.000
240000136,http://publicdata.usac.org/SL/Prd/Form470/340733/240000136/GM_DarkFiber_LitFiberService_RFQ_2024.docx,true,2023-08-24T18:08:08.000,2,2023-08-24T18:20:06.000
240000138,http://publicdata.usac.org/SL/Prd/Form470/340744/240000138/LO_DarkFiber_LitFiberService_RFQ_2024.docx,true,2023-08-24T18:08:16.000,2,2023-08-24T18:19:14.000
240000139,http://publicdata.usac.org/SL/Prd/Form470/340746/240000139/LY_DarkFiber_LitFiberService_RFQ_2024.docx,true,2023-08-24T18:08:44.000,2,2023-08-24T18:19:42.000
240000140,http://publicdata.usac.org/SL/Prd/Form470/17019246/240000140/SMEC_DarkFiber_LitFiberService_RFQ_2024.docx,true,2023-08-24T18:08:31.000,2,2023-08-24T18:18:30.000
240000141,http://publicdata.usac.org/SL/Prd/Form470/17024698/240000141/First%20Assembly%20Christian%20School%20C1%20470.pdf,true,2023-08-01T15:08:17.000,1,2023-08-01T15:32:15.000
240000142,http://publicdata.usac.org/SL/Prd/Form470/17009200/240000142/Star%20Academy%20C1%20RFP.docx,true,2023-08-01T15:08:22.000,1,2023-08-01T15:46:20.000
240000145,http://publicdata.usac.org/SL/Prd/Form470/334614/240000145/Request%20for%20Proposal%20Internet%20and%20Managed%20Firewall%20Services.pdf,true,2023-08-08T11:08:33.000,3,2023-08-02T09:42:19.000
240000147,http://publicdata.usac.org/SL/Prd/Form470/330944/240000147/MPB%20Service%20Specifications%20Internet%20No%20Vendor%20Questions.pdf,true,2023-10-20T11:10:48.000,1,2023-10-04T15:50:48.000
240000149,http://publicdata.usac.org/SL/Prd/Form470/370077/240000149/APCS%20C1%20RFP.pdf,true,2023-08-02T17:08:17.000,1,2023-08-02T17:09:16.000
240000151,,false,,1,2023-08-02T13:54:05.000
240000153,http://publicdata.usac.org/SL/Prd/Form470/337368/240000153/FY2024%20MSD%20Decatur%20IA%20RFP%20FINAL.pdf,true,2023-08-02T14:08:46.000,1,2023-08-02T14:42:45.000
240000158,,false,,1,2023-08-18T16:24:59.000
240000159,http://publicdata.usac.org/SL/Prd/Form470/17010825/240000159/IFB%20C4DNCS19%20Appendix%20A%20Glossary.docx,true,2023-08-14T12:08:17.000,1,2023-08-14T12:10:15.000
240000160,http://publicdata.usac.org/SL/Prd/Form470/17012845/240000160/BFCS%20C1%20RFP.pdf,true,2023-08-02T17:08:55.000,1,2023-08-02T17:43:53.000
240000163,http://publicdata.usac.org/SL/Prd/Form470/346996/240000163/24005TulsaISD2023EdgeSwitchUpgrade.pdf,true,2023-09-07T10:09:17.000,990,2023-09-07T10:23:15.000
240000164,,false,,16,2024-01-15T14:54:06.000
240000196,,false,,1,2023-08-28T10:53:31.000
240000198,,false,,1,2023-08-07T11:10:59.000
240000200,,false,,1,2024-02-28T10:21:15.000
240000203,http://publicdata.usac.org/SL/Prd/Form470/329870/240000203/Attachment%20A%20Pricing%20Schedule.xlsx,true,2023-10-23T11:10:10.000,150,2023-10-23T11:14:08.000
240000208,http://publicdata.usac.org/SL/Prd/Form470/291656/240000208/False%20River%20C1%20RFP.pdf,true,2023-08-05T16:08:19.000,1,2023-08-05T16:06:17.000
240000211,http://publicdata.usac.org/SL/Prd/Form470/17027243/240000211/MCAA%20C1%20Questions.pdf,true,2023-09-05T14:09:26.000,1,2023-08-05T17:21:02.000
240000213,http://publicdata.usac.org/SL/Prd/Form470/17013770/240000213/Noble%20Minds%20C1%20RFP.pdf,true,2023-08-05T19:08:53.000,1,2023-08-05T19:36:51.000
240000220,,false,,1,2023-08-07T11:44:33.000
240000228,http://publicdata.usac.org/SL/Prd/Form470/17028082/240000228/BCS%20C1%20RFP.pdf,true,2023-08-07T14:08:50.000,2,2023-08-07T14:55:49.000
240000233,http://publicdata.usac.org/SL/Prd/Form470/17027932/240000233/MAX%20Charter%20C1%20RFP.pdf,true,2023-08-08T13:08:37.000,1,2023-08-08T13:36:36.000
240000235,,false,,1,2023-08-08T14:20:26.000
240000236,http://publicdata.usac.org/SL/Prd/Form470/336923/240000236/Middletown%20City%20Schools%20Internet%20Pricing%20Worksheet.xlsx,true,2023-09-20T13:09:06.000,1,2023-09-20T13:26:04.000
240000237,,false,,2,2023-08-08T14:35:20.000
240000240,,false,,2,2023-08-08T14:35:14.000
240000242,,false,,1,2023-08-08T14:36:41.000
240000250,,false,,1,2023-08-09T08:23:18.000
240000252,http://publicdata.usac.org/SL/Prd/Form470/17026777/240000252/The%20Arthur%20School%20C1%20RFP.pdf,true,2023-08-09T08:08:01.000,1,2023-08-09T08:56:59.000
240000258,,false,,1,2023-08-09T14:30:00.000
240000265,,false,,1,2023-08-10T10:58:16.000
240000266,http://publicdata.usac.org/SL/Prd/Form470/347308/240000266/09%2022%2023%20RFP%202023%2008%20046%20Ion%20Wave%20Questions%20BNE092623.xlsx,true,2023-09-27T14:09:22.000,48,2023-08-25T15:58:39.000
240000267,,false,,3,2023-08-10T12:17:55.000
240000268,http://publicdata.usac.org/SL/Prd/Form470/346795/240000268/2024%20C2%20Bidding%20Instructions.docx,true,2023-08-10T12:08:09.000,10,2023-08-10T12:53:08.000
240000269,,false,,1,2023-08-10T13:19:55.000
240000270,http://publicdata.usac.org/SL/Prd/Form470/17020733/240000270/Extension%202.docx,true,2023-10-16T17:10:05.000,1,2023-08-10T14:03:13.000
240000271,http://publicdata.usac.org/SL/Prd/Form470/350061/240000271/Addendum%201%20ERate%20Wide%20Area%20Network%20%20RFP%2024%20027RR.pdf,true,2023-10-27T08:10:17.000,165,2023-10-26T12:08:34.000
240000272,http://publicdata.usac.org/SL/Prd/Form470/350061/240000272/Addendum%201%20ERate%20Internet%20Commodity%20Services%20%20RFP%2024%20028RR.pdf,true,2023-10-25T19:10:21.000,2,2023-10-25T19:56:20.000
240000275,,false,,6,2023-08-14T13:10:36.000
240000276,,false,,1,2023-10-17T15:00:35.000
240000277,,false,,2,2023-12-15T14:07:08.000
240000281,http://publicdata.usac.org/SL/Prd/Form470/345017/240000281/212C2RFP24A.pdf,true,2023-09-28T13:09:39.000,3,2023-09-28T13:11:37.000
240000284,http://publicdata.usac.org/SL/Prd/Form470/345042/240000284/RFP_All_APs_Phillipsburg_USD_325.pdf,true,2023-09-22T12:09:37.000,80,2023-09-22T12:45:35.000
240000288,http://publicdata.usac.org/SL/Prd/Form470/344926/240000288/306RFP24A.pdf,true,2023-10-24T13:10:26.000,1,2023-10-24T13:44:25.000
240000290,http://publicdata.usac.org/SL/Prd/Form470/287795/240000290/SMCC2RFP24A.pdf,true,2023-11-03T07:11:42.000,1,2023-11-03T07:59:41.000
240000294,http://publicdata.usac.org/SL/Prd/Form470/344913/240000294/272C1RFP24A%20Approved.pdf,true,2023-10-26T00:10:17.000,1,2023-10-26T00:21:15.000
240000295,,false,,2,2023-10-16T08:39:24.000
240000297,,false,,1,2023-08-14T10:44:12.000
240000299,,false,,1,2023-10-20T15:36:11.000
240000302,http://publicdata.usac.org/SL/Prd/Form470/347996/240000302/RFP%20No%2023%201249%20Tennyson%20Middle%20School%20Network%20Switches.pdf,true,2023-08-29T10:08:06.000,1,2023-08-29T10:18:04.000
240000304,http://publicdata.usac.org/SL/Prd/Form470/347996/240000304/RFP%20No.%2023%201247%20Waco%20High%20School%20Network%20Switches.pdf,true,2023-08-29T10:08:06.000,1,2023-08-29T10:16:05.000
240000305,http://publicdata.usac.org/SL/Prd/Form470/347996/240000305/RFP%20No%2023%201250%20Waco%20High%20School%20Wireless%20Access%20Points.pdf,true,2023-08-29T10:08:12.000,27,2023-08-29T10:19:11.000
240000308,http://publicdata.usac.org/SL/Prd/Form470/336606/240000308/Shaker%20Heights%20Service%20Specifications%20C2%20Firewall%20MIBS.pdf,true,2023-09-28T10:09:39.000,1,2023-09-28T10:56:37.000
240000312,,false,,1,2023-08-15T12:35:39.000
240000315,http://publicdata.usac.org/SL/Prd/Form470/344907/240000315/273C1RFP24A2.pdf,true,2023-10-18T09:10:43.000,1,2023-10-18T09:20:41.000
240000316,http://publicdata.usac.org/SL/Prd/Form470/344937/240000316/112C1RFP24A.pdf,true,2023-11-28T09:11:34.000,1,2023-11-28T09:29:31.000
240000318,http://publicdata.usac.org/SL/Prd/Form470/344916/240000318/379C2RFP24A.pdf,true,2023-12-12T11:12:30.000,27,2023-12-12T11:43:28.000
240000325,http://publicdata.usac.org/SL/Prd/Form470/344976/240000325/431C2RFP24A.pdf,true,2023-10-18T16:10:21.000,1975,2023-10-18T16:01:19.000
240000327,http://publicdata.usac.org/SL/Prd/Form470/344589/240000327/330C2RFP24A.pdf,true,2023-11-20T11:11:13.000,4,2023-11-20T11:56:12.000
240000331,http://publicdata.usac.org/SL/Prd/Form470/344934/240000331/400C1RFP24A.pdf,true,2024-01-14T15:01:19.000,1,2024-01-14T15:14:18.000
240000334,http://publicdata.usac.org/SL/Prd/Form470/344913/240000334/272C1RFP24ATiptonCommunity.pdf,true,2024-01-29T14:01:27.000,1,2024-01-29T14:29:25.000
240000339,http://publicdata.usac.org/SL/Prd/Form470/344903/240000339/SJEC1RFP24ABeloit2.pdf,true,2023-11-07T11:11:32.000,1,2023-11-07T11:13:30.000
240000341,http://publicdata.usac.org/SL/Prd/Form470/17034983/240000341/Chumash%20RFP%20for%20underground%20Fiber%20Optic%20Circuit%20Museum%2008142023.pdf,true,2023-08-15T16:08:55.000,1,2023-08-15T16:29:53.000
240000342,,false,,1,2023-08-18T13:31:31.000
240000348,http://publicdata.usac.org/SL/Prd/Form470/349433/240000348/Shelley%202024%20ERATE%20IA%20RFP.pdf,true,2023-10-04T11:10:14.000,1,2023-10-04T11:19:13.000
240000351,,false,,1,2023-08-16T14:25:42.000
240000359,http://publicdata.usac.org/SL/Prd/Form470/351220/240000359/SRCS%20Yr%2027%20Broadband%20Svc%20RFP.pdf,true,2023-08-17T12:08:29.000,2,2023-08-17T12:35:28.000
240000361,,false,,5,2023-08-17T14:03:05.000
240000362,,false,,1,2023-08-17T15:19:11.000
240000365,http://publicdata.usac.org/SL/Prd/Form470/338224/240000365/2023_Bath_IC_Service%20Specifications.pdf,true,2023-10-30T13:10:37.000,70,2023-10-30T13:04:36.000
240000370,http://publicdata.usac.org/SL/Prd/Form470/336923/240000370/Middletown%20Category%202%20Proposal%20Pricing%20Worksheet.xlsx,true,2023-12-15T08:12:16.000,21,2023-12-15T08:13:14.000
240000371,,false,,1,2023-08-21T09:32:54.000
240000376,,false,,1,2023-08-18T16:03:27.000
240000381,http://publicdata.usac.org/SL/Prd/Form470/264598/240000381/FY2024%20C2%20RFP%20for%20St%20Johns%20Evangelical%20Lutheran%20School%20Lanesville%20IN.docx,true,2023-08-21T14:08:49.000,10,2023-08-21T14:44:47.000
240000382,http://publicdata.usac.org/SL/Prd/Form470/351917/240000382/2023_BRSD_LF_101723_Attachment%20A_Cost%20Proposal%20Form.xlsx,true,2023-09-05T10:09:35.000,1,2023-09-05T10:46:34.000
240000384,http://publicdata.usac.org/SL/Prd/Form470/351917/240000384/2023_BRSD_DIA_101723_Attachment%20A_Cost%20Proposal%20Form.xlsx,true,2023-09-05T10:09:02.000,1,2023-09-05T10:49:01.000
240000387,http://publicdata.usac.org/SL/Prd/Form470/351915/240000387/2023_UNION_LF_101723_Attachment%20A_Cost%20Proposal%20Form.xlsx,true,2023-09-05T10:09:03.000,1,2023-09-05T10:51:01.000
240000388,http://publicdata.usac.org/SL/Prd/Form470/351674/240000388/2024_WHSD_LF_102323_Attachment%20A_Cost%20Proposal%20Form.xlsx,true,2023-09-18T13:09:07.000,3,2023-09-18T13:20:05.000
240000389,http://publicdata.usac.org/SL/Prd/Form470/346997/240000389/Attach%20A%20Tulsa%20Tech%202024%20WAN%20Bid%20Response%20Form.xlsx,true,2023-09-27T14:09:20.000,336,2023-09-27T14:04:18.000
240000390,,false,,2,2023-08-22T11:02:01.000
240000391,,false,,1,2023-08-22T11:35:46.000
240000393,,false,,1,2023-08-22T14:13:18.000
240000394,http://publicdata.usac.org/SL/Prd/Form470/351877/240000394/2023_ECHO_LF_1042023_Attachment%20A_Cost%20Proposal%20Form.xlsx,true,2023-08-22T18:08:33.000,1,2023-08-22T18:35:31.000
240000395,http://publicdata.usac.org/SL/Prd/Form470/17014012/240000395/Alta%20Vista%20Innovation%202024%20C1%20RFP.pdf,true,2023-08-31T12:08:36.000,1,2023-08-31T12:52:34.000
240000397,http://publicdata.usac.org/SL/Prd/Form470/331719/240000397/470_240000397_Template%20for%20Upload_Hannibal.xlsx,true,2023-10-16T07:10:15.000,110,2023-10-16T07:12:13.000
240000398,http://publicdata.usac.org/SL/Prd/Form470/337585/240000398/Batesville%20Memorial%20Public%20Library%20MIBS%20RFP%20for%20FY2024.pdf,true,2023-08-24T12:08:41.000,9,2023-08-24T12:08:39.000
240000401,http://publicdata.usac.org/SL/Prd/Form470/17001973/240000401/2024%20C2%20RFP%20Antelope%20Valley%20Learning%20Academy.pdf,true,2023-08-31T12:08:00.000,2,2023-08-31T12:29:58.000
240000402,http://publicdata.usac.org/SL/Prd/Form470/17001974/240000402/Assurance%202024%20C1%20RFP.pdf,true,2023-08-30T18:08:03.000,2,2023-08-30T18:48:02.000
240000405,http://publicdata.usac.org/SL/Prd/Form470/17014058/240000405/2024%20C2%20RFP%20Crescent%20View%20South%20Public%20Charter%20II.pdf,true,2023-08-30T18:08:01.000,2,2023-08-30T18:38:00.000
240000408,http://publicdata.usac.org/SL/Prd/Form470/17002198/240000408/Desert%20Sands%20Charter%202024%20C1%20RFP.pdf,true,2023-08-30T18:08:58.000,2,2023-08-30T18:26:57.000
240000411,http://publicdata.usac.org/SL/Prd/Form470/17026329/240000411/Flex%20High%20School%20Cleveland%202024%20C1%20RFP.pdf,true,2023-09-05T17:09:04.000,1,2023-08-30T18:02:17.000
240000414,http://publicdata.usac.org/SL/Prd/Form470/17014060/240000414/2024%20C2%20RFP%20Kings%20Valley%20Academy%20II.pdf,true,2023-08-30T17:08:02.000,2,2023-08-30T17:33:01.000
240000419,http://publicdata.usac.org/SL/Prd/Form470/17011614/240000419/2024%20C2%20RFP%20San%20Diego%20Workforce%20Innovation%20High%20School.pdf,true,2023-08-30T17:08:51.000,2,2023-08-30T17:00:48.000
240000420,http://publicdata.usac.org/SL/Prd/Form470/17014056/240000420/2024%20C2%20RFP%20Vista%20Norte%20Public%20Charter%20School.pdf,true,2023-08-30T16:08:30.000,2,2023-08-30T16:53:29.000
240000421,http://publicdata.usac.org/SL/Prd/Form470/385079/240000421/Vista%20Real%20Charter%202024%20C1%20RFP.pdf,true,2023-08-30T16:08:04.000,1,2023-08-30T16:20:02.000
240000423,http://publicdata.usac.org/SL/Prd/Form470/17024215/240000423/Ecole%20Saint%20Landry%20C1%20RFP%20FY2024.pdf,true,2023-08-23T16:08:35.000,1,2023-08-23T16:05:33.000
240000424,http://publicdata.usac.org/SL/Prd/Form470/400469/240000424/Idalia%20C1%20Internet%20Scope%20of%20Work.pdf,true,2023-09-25T11:09:58.000,1,2023-09-25T11:05:56.000
240000427,http://publicdata.usac.org/SL/Prd/Form470/17031284/240000427/ZZZ%20This%20document%20is%20a%20placeholder%20should%20further%20attachments%20be%20required%20at%20later%20date.docx,true,2023-08-24T13:08:19.000,1,2023-08-24T13:00:18.000
240000428,http://publicdata.usac.org/SL/Prd/Form470/336911/240000428/Fairfield%20C1%20Internet%20Addenda%201%20Q_A.pdf,true,2023-09-28T16:09:24.000,1,2023-09-12T13:39:24.000
240000429,http://publicdata.usac.org/SL/Prd/Form470/336911/240000429/Fairfield%20City%20SD%20FY2024%20Service%20Specs%20Transport%20Addenda%201.pdf,true,2023-11-08T16:11:35.000,8,2023-10-02T10:49:04.000
240000430,,false,,1,2023-08-24T12:58:25.000
240000431,http://publicdata.usac.org/SL/Prd/Form470/348395/240000431/Equipment%20Maintenance%20Summary.xls,true,2023-09-15T15:09:16.000,12,2023-09-15T15:01:15.000
240000432,http://publicdata.usac.org/SL/Prd/Form470/385813/240000432/ZZZ%20This%20document%20is%20a%20placeholder%20should%20further%20attachments%20be%20required%20at%20later%20date.docx,true,2023-08-24T13:08:16.000,1,2023-08-24T13:08:14.000
240000433,http://publicdata.usac.org/SL/Prd/Form470/379232/240000433/ZZZ%20This%20document%20is%20a%20placeholder%20should%20further%20attachments%20be%20required%20at%20later%20date.docx,true,2023-08-24T13:08:53.000,1,2023-08-24T13:20:51.000
240000434,http://publicdata.usac.org/SL/Prd/Form470/367892/240000434/ZZZ%20This%20document%20is%20a%20placeholder%20should%20further%20attachments%20be%20required%20at%20later%20date.docx,true,2023-08-24T13:08:05.000,1,2023-08-24T13:26:04.000
240000439,,false,,2,2023-08-24T15:24:17.000
240000440,,false,,1,2023-09-11T14:57:45.000
240000443,http://publicdata.usac.org/SL/Prd/Form470/400331/240000443/470%20Worksheet%20%20REPLACING%20THIS%20470.docx,true,2023-09-27T15:09:51.000,1,2023-09-22T18:52:15.000
240000444,http://publicdata.usac.org/SL/Prd/Form470/334596/240000444/rfpDublinWAN24.pdf,true,2023-08-25T11:08:49.000,6,2023-08-25T11:48:47.000
240000446,http://publicdata.usac.org/SL/Prd/Form470/348316/240000446/MEDI%20Addendum%201%20470%20240000446%20C2%20QandA.pdf,true,2023-10-30T15:10:17.000,21,2023-10-13T13:20:00.000
240000447,http://publicdata.usac.org/SL/Prd/Form470/348316/240000447/MEDI%20Addendum%201%20470%20240000447%20C1%20WAN%20QandA.pdf,true,2023-10-30T15:10:33.000,9,2023-10-13T13:20:45.000
240000450,http://publicdata.usac.org/SL/Prd/Form470/401244/240000450/Category%20Two%20Internal%20Connections%20Version%2021.xlsm,true,2023-08-25T19:08:54.000,13,2023-08-25T19:17:52.000
240000451,,false,,2,2023-08-27T14:50:55.000
240000452,,false,,24,2023-08-27T15:04:47.000
240000453,,false,,2,2023-08-27T15:09:54.000
240000454,,false,,15,2023-08-27T15:21:31.000
240000458,,false,,2,2023-08-28T11:33:56.000
240000460,http://publicdata.usac.org/SL/Prd/Form470/336024/240000460/Russell%20Independent%20School%20District%20WAN%20RFP.docx,true,2023-09-12T13:09:11.000,2,2023-09-12T13:04:10.000
240000463,,false,,10,2023-08-28T14:46:13.000
240000467,http://publicdata.usac.org/SL/Prd/Form470/351434/240000467/Additional%20Information%20.pdf,true,2023-09-18T20:09:34.000,2,2023-09-18T20:49:31.000
240000471,http://publicdata.usac.org/SL/Prd/Form470/256086/240000471/Choctaw%20Network%20RFP%202024.1.pdf,true,2023-08-29T11:08:54.000,1,2023-08-29T11:56:53.000
240000475,http://publicdata.usac.org/SL/Prd/Form470/351845/240000475/2024_HCSD_LF_110323_Attachment%20A_Cost%20Proposal%20Form.xlsx,true,2023-09-11T11:09:54.000,1,2023-09-11T11:11:52.000
240000476,http://publicdata.usac.org/SL/Prd/Form470/352686/240000476/FY2024%20City%20of%20Hampton_Service%20Spec%20C2%20Equipment.pdf,true,2024-02-07T12:02:30.000,7,2024-02-07T12:28:28.000
240000484,http://publicdata.usac.org/SL/Prd/Form470/333958/240000484/2024%20WAN%20RFP%20Doddridge%20County.pdf,true,2023-09-27T17:09:48.000,8,2023-09-27T17:26:47.000
240000485,http://publicdata.usac.org/SL/Prd/Form470/17021071/240000485/Flex%20High%20School%20Michigan%202024%20C1%20RFP.pdf,true,2023-08-30T17:08:03.000,2,2023-08-30T17:55:01.000
240000486,,false,,1,2023-08-30T11:44:24.000
240000494,,false,,1,2023-08-31T09:09:50.000
240000495,http://publicdata.usac.org/SL/Prd/Form470/337604/240000495/Addendum%20Service%20Provider%20Questions%20FCC%20Form%20470%20%20240000495.pdf,true,2023-09-25T09:09:42.000,1,2023-08-31T11:41:08.000
240000496,,false,,1,2023-08-31T09:26:36.000
240000497,http://publicdata.usac.org/SL/Prd/Form470/337616/240000497/RFP%20C1%20IA%20and%20WAN%20North%20Harrison%20FINAL.pdf,true,2023-08-31T10:08:58.000,1,2023-08-31T10:41:56.000
240000498,http://publicdata.usac.org/SL/Prd/Form470/348411/240000498/Alicia%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-04T10:10:02.000,1,2023-10-04T10:28:00.000
240000501,http://publicdata.usac.org/SL/Prd/Form470/348312/240000501/Bandera%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-17T11:10:57.000,1,2023-10-17T11:36:56.000
240000502,http://publicdata.usac.org/SL/Prd/Form470/17017613/240000502/Cameron%20LCT%20Service%20Spec%20IA.pdf,true,2023-11-02T17:11:07.000,1,2023-11-02T17:27:04.000
240000504,http://publicdata.usac.org/SL/Prd/Form470/347867/240000504/Comanche%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-03T15:10:34.000,1,2023-10-03T15:38:33.000
240000506,http://publicdata.usac.org/SL/Prd/Form470/347869/240000506/Cross%20Plains%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-10T13:10:00.000,1,2023-10-10T13:43:58.000
240000507,http://publicdata.usac.org/SL/Prd/Form470/347965/240000507/Hewitt%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-05T12:10:37.000,1,2023-10-05T12:19:36.000
240000510,http://publicdata.usac.org/SL/Prd/Form470/347798/240000510/Krum%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-05T14:10:47.000,1,2023-10-05T14:57:46.000
240000511,http://publicdata.usac.org/SL/Prd/Form470/347732/240000511/Mansfield%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-12T10:10:53.000,1,2023-10-12T10:53:51.000
240000513,http://publicdata.usac.org/SL/Prd/Form470/17023258/240000513/Medina%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-05T12:10:09.000,1,2023-10-05T12:43:08.000
240000514,http://publicdata.usac.org/SL/Prd/Form470/17022317/240000514/Meridian%20LCT%20Service%20Spec%20IA.pdf,true,2023-10-05T12:10:03.000,1,2023-10-05T12:37:01.000
240000515,http://publicdata.usac.org/SL/Prd/Form470/17010369/240000515/Natalia%20LCT%20Service%20Spec%20IA_.pdf,true,2023-11-28T19:11:36.000,1,2023-11-28T19:12:34.000
240000516,http://publicdata.usac.org/SL/Prd/Form470/388864/240000516/New%20Waverly%20LCT%20Service%20Spec%20IA.pdf,true,2023-11-02T15:11:33.000,1,2023-11-02T15:50:32.000
240000517,http://publicdata.usac.org/SL/Prd/Form470/394774/240000517/Penitas%20LCT%20Service%20Spec%20IA.pdf,true,2023-11-08T17:11:37.000,1,2023-11-08T17:41:36.000
240000521,http://publicdata.usac.org/SL/Prd/Form470/347725/240000521/Grapevine%20PL_470%20QA%20Addendum_FY24.pdf,true,2023-11-10T18:11:06.000,1,2023-10-26T16:33:59.000
240000524,http://publicdata.usac.org/SL/Prd/Form470/17024247/240000524/FY2024%20C1%20IA%20RFP%20Believe%20Schools.pdf,true,2023-08-31T12:08:02.000,1,2023-08-31T12:16:01.000
